Run	Sample_Name	Treatment	Genotype	Compartment	Timepoint	Group
SRR14458733	Drought-642-TP3-Z	Drought	RTx642	Rhizosphere	TP3	Drought_Rhizo
SRR14458744	Drought-430-TP3-Z	Drought	BTx430	Rhizosphere	TP3	Drought_Rhizo
SRR14458753	Drought-642-TP8-Z	Drought	RTx642	Rhizosphere	TP8	Drought_Rhizo
SRR14458754	Drought-430-TP8-Z	Drought	BTx430	Rhizosphere	TP8	Drought_Rhizo
SRR14458746	Drought-642-TP10-Z	Drought	RTx642	Rhizosphere	TP10	Drought_Rhizo
SRR14458755	Watered-642-TP3-Z	Watered	RTx642	Rhizosphere	TP3	Watered_Rhizo
SRR14458756	Watered-430-TP3-Z	Watered	BTx430	Rhizosphere	TP3	Watered_Rhizo
SRR14458710	Watered-642-TP8-Z	Watered	RTx642	Rhizosphere	TP8	Watered_Rhizo
SRR14458711	Watered-430-TP8-Z	Watered	BTx430	Rhizosphere	TP8	Watered_Rhizo
SRR14458743	Watered-642-TP11-Z	Watered	RTx642	Rhizosphere	TP11	Watered_Rhizo
SRR14458737	Drought-642-TP3-S	Drought	RTx642	BulkSoil	TP3	Drought_Bulk
SRR14458738	Drought-430-TP3-S	Drought	BTx430	BulkSoil	TP3	Drought_Bulk
SRR14458728	Drought-642-TP8-S	Drought	RTx642	BulkSoil	TP8	Drought_Bulk
SRR14458729	Drought-430-TP8-S	Drought	BTx430	BulkSoil	TP8	Drought_Bulk
SRR14458719	Drought-642-TP10-S	Drought	RTx642	BulkSoil	TP10	Drought_Bulk
SRR14458739	Watered-642-TP3-S	Watered	RTx642	BulkSoil	TP3	Watered_Bulk
SRR14458740	Watered-430-TP3-S	Watered	BTx430	BulkSoil	TP3	Watered_Bulk
SRR14458730	Watered-642-TP8-S	Watered	RTx642	BulkSoil	TP8	Watered_Bulk
SRR14458731	Watered-430-TP8-S	Watered	BTx430	BulkSoil	TP8	Watered_Bulk
SRR14458717	Watered-642-TP11-S	Watered	RTx642	BulkSoil	TP11	Watered_Bulk
