CHEM_ID	SUPER_PATHWAY	SUB_PATHWAY	CHEMICAL_NAME	HMDB	KEGG
30	Lipid	Mevalonate Metabolism	mevalonate	HMDB0000227	C02104
35	Amino Acid	Glutamate Metabolism	S-1-pyrroline-5-carboxylate	HMDB0001301	C04322
48	Amino Acid	Polyamine Metabolism	1,3-diaminopropane	HMDB0000002	C00986
49	Amino Acid	Polyamine Metabolism	putrescine	HMDB0001414	C00134
50	Amino Acid	Polyamine Metabolism	spermidine	HMDB0001257	C00315
54	Nucleotide	Purine Metabolism, Adenine containing	1-methyladenine	HMDB0011599	C02216
55	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	1-methylnicotinamide	HMDB0000699	C02918
73	Nucleotide	Pyrimidine Metabolism, Cytidine containing	cytidine 2',3'-cyclic monophosphate	HMDB0011691	C02354
75	Nucleotide	Pyrimidine Metabolism, Uracil containing	uridine-2',3'-cyclic monophosphate	HMDB0011640	C02355
93	Energy	TCA Cycle	alpha-ketoglutarate	HMDB0000208	C00026
98	Amino Acid	Tryptophan Metabolism	kynurenate	HMDB0000715	C01717
106	Nucleotide	Pyrimidine Metabolism, Uracil containing	uridine 3'-monophosphate (3'-UMP)	HMDB0060282	C01368
111	Amino Acid	Leucine, Isoleucine and Valine Metabolism	3-hydroxyisobutyrate	HMDB0000023,HMDB0000336	C01188,C06001
112	Lipid	Mevalonate Metabolism	3-hydroxy-3-methylglutarate	HMDB0000355	C03761
115	Lipid	Fatty Acid, Monohydroxy	3-hydroxypropanoate	HMDB0000700	C01013
132	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	3-phosphoglycerate	HMDB0000807	C00597
133	Amino Acid	Glycine, Serine and Threonine Metabolism	3-phosphoserine	HMDB0001721,HMDB0000272	C01005,C02532
144	Amino Acid	Phenylalanine Metabolism	4-hydroxyphenylacetate	HMDB0000020	C00642
158	Nucleotide	Pyrimidine Metabolism, Thymine containing	5,6-dihydrothymine	HMDB0000079	C00906
171	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	hypoxanthine	HMDB0000157	C00262
172	Nucleotide	Purine Metabolism, Guanine containing	guanine	HMDB0000132	C00242
180	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	linoleate (18:2n6)	HMDB0006270,HMDB0000673	C01595
181	Lipid	Medium Chain Fatty Acid	laurate (12:0)	HMDB0000638	C02679
182	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	quinolinate	HMDB0000232	C03722
187	Amino Acid	Polyamine Metabolism	N('1)-acetylspermidine	HMDB0001276	C00612
189	Amino Acid	Lysine Metabolism	N6,N6,N6-trimethyllysine	HMDB0001325	C03793
192	Amino Acid	Polyamine Metabolism	N-acetylputrescine	HMDB0002064	C02714
194	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	N-formylmethionine	HMDB0001015	C03145
209	Nucleotide	Purine Metabolism, Adenine containing	adenosine 5'-monophosphate (AMP)	HMDB0000045	C00020
211	Nucleotide	Purine Metabolism, Adenine containing	2'-deoxyadenosine	HMDB0000101	C00559
212	Amino Acid	Polyamine Metabolism	5-methylthioadenosine (MTA)	HMDB0001173	C00170
219	Carbohydrate	Pentose Phosphate Pathway	ribose 1-phosphate	HMDB0001489	C00620
229	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	arachidonate (20:4n6)	HMDB0001043	C00219
231	Amino Acid	Urea cycle; Arginine and Proline Metabolism	arginine	HMDB0000517	C00062
232	Amino Acid	Urea cycle; Arginine and Proline Metabolism	argininosuccinate	HMDB0000052	C03406
234	Amino Acid	Alanine and Aspartate Metabolism	aspartate	HMDB0000191	C00049
240	Amino Acid	Tyrosine Metabolism	3-(4-hydroxyphenyl)lactate	HMDB0000755	C03672
241	Amino Acid	Phenylalanine Metabolism	phenylpyruvate	HMDB0000205	C00166
244	Nucleotide	Pyrimidine Metabolism, Uracil containing	beta-alanine	HMDB0000056	C00099
249	Amino Acid	Histidine Metabolism	carnosine	HMDB0000033	C00386
