name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium prausnitzii	853	S	206173	12589	215638	0.010838
Roseburia intestinalis	166486	S	195081	19749	220598	0.011088
Roseburia hominis	301301	S	203530	28675	205747	0.010341
Eubacterium rectale	39491	S	191003	16774	211923	0.010652
Bifidobacterium adolescentis	1680	S	211058	35747	239365	0.012031
Bifidobacterium longum	216816	S	229882	22460	230535	0.011587
Akkermansia muciniphila	239935	S	267179	29525	275255	0.013835
Prevotella copri	165179	S	221685	1889	236093	0.011866
Escherichia coli	562	S	715826	78907	779585	0.039183
Enterococcus faecalis	1351	S	301112	17709	316418	0.015904
Fusobacterium nucleatum	851	S	391789	9922	395246	0.019866
Ruminococcus gnavus	33038	S	352224	39459	380761	0.019138
Bacteroides fragilis	817	S	940584	95870	985348	0.049525
Clostridium difficile	1496	S	173967	4573	195185	0.00981
Streptococcus salivarius	1304	S	433251	41197	458278	0.023034
Parabacteroides sp5001	5001	S	147128	17746	167782	0.008433
Alistipes sp5002	5002	S	298087	32514	324617	0.016316
Blautia sp5003	5003	S	107063	2793	109741	0.005516
Clostridium sp5004	5004	S	60702	8317	71174	0.003577
Dorea sp5005	5005	S	75759	8445	80471	0.004045
Coprococcus sp5006	5006	S	145373	17941	148990	0.007488
Lachnospira sp5007	5007	S	238587	19293	239994	0.012063
Anaerostipes sp5008	5008	S	141278	9224	153019	0.007691
Collinsella sp5009	5009	S	55900	5499	64029	0.003218
Holdemania sp5011	5011	S	100591	15592	112827	0.005671
Streptococcus sp5013	5013	S	78741	7469	83993	0.004222
Enterobacter sp5014	5014	S	328132	2833	363284	0.018259
Klebsiella sp5015	5015	S	64782	4812	75790	0.003809
Citrobacter sp5016	5016	S	93357	9850	108217	0.005439
Proteus sp5017	5017	S	101297	13659	103139	0.005184
Desulfovibrio sp5019	5019	S	161248	5384	169940	0.008541
Bilophila sp5020	5020	S	144605	19623	147640	0.007421
Sutterella sp5021	5021	S	253391	31868	288109	0.014481
Parasutterella sp5022	5022	S	167735	22614	187838	0.009441
Oscillibacter sp5023	5023	S	707031	3185	707325	0.035551
Subdoligranulum sp5024	5024	S	126313	11981	128289	0.006448
Butyrivibrio sp5025	5025	S	252851	17707	253865	0.01276
Odoribacter sp5026	5026	S	35850	343	36690	0.001844
Barnesiella sp5027	5027	S	177584	1982	197252	0.009914
Christensenella sp5028	5028	S	65143	8012	65385	0.003286
Methanobrevibacter sp5029	5029	S	160833	23140	164471	0.008267
Gemella sp5030	5030	S	306041	20516	354722	0.017829
Granulicatella sp5031	5031	S	348547	12805	404979	0.020355
Actinomyces sp5033	5033	S	254436	20243	287692	0.01446
Corynebacterium sp5034	5034	S	161220	2742	181089	0.009102
Finegoldia sp5035	5035	S	141104	3561	161239	0.008104
Peptoniphilus sp5036	5036	S	222328	25424	223230	0.01122
Megasphaera sp5038	5038	S	42931	2845	43140	0.002168
Dialister sp5039	5039	S	318052	42707	356659	0.017926
Mitsuokella sp5040	5040	S	100176	5004	111439	0.005601
Phascolarctobacterium sp5041	5041	S	26329	578	29755	0.001496
Flavonifractor sp5043	5043	S	53890	3232	60655	0.003049
